source,relation,target
user:r7vo23CVuCfXNGk9dkqasg,hasReview,review:CX0-6owhNA4k8o6OoaMd9A
business:WNhcS2zi4zAqA2TbduVINQ,hasReview,review:CX0-6owhNA4k8o6OoaMd9A
review:CX0-6owhNA4k8o6OoaMd9A,hasExtract,aspect:CX0-6owhNA4k8o6OoaMd9A#1
aspect:CX0-6owhNA4k8o6OoaMd9A#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:fresh
review:CX0-6owhNA4k8o6OoaMd9A,hasExtract,aspect:CX0-6owhNA4k8o6OoaMd9A#2
aspect:CX0-6owhNA4k8o6OoaMd9A#2,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Experience
detail:Experience,hasOpinion,opinion:fast
review:CX0-6owhNA4k8o6OoaMd9A,hasExtract,aspect:CX0-6owhNA4k8o6OoaMd9A#3
aspect:CX0-6owhNA4k8o6OoaMd9A#3,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Seating
subcategory:Seating,hasOpinion,opinion:Great seating
review:CX0-6owhNA4k8o6OoaMd9A,hasExtract,aspect:CX0-6owhNA4k8o6OoaMd9A#4
aspect:CX0-6owhNA4k8o6OoaMd9A#4,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Environment
subcategory:Environment,hasDetail,detail:Type
detail:Type,hasOpinion,opinion:Friendly Vibe
review:CX0-6owhNA4k8o6OoaMd9A,hasExtract,aspect:CX0-6owhNA4k8o6OoaMd9A#5
aspect:CX0-6owhNA4k8o6OoaMd9A#5,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:most diverse and unique soda selections
review:CX0-6owhNA4k8o6OoaMd9A,hasExtract,aspect:CX0-6owhNA4k8o6OoaMd9A#6
aspect:CX0-6owhNA4k8o6OoaMd9A#6,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Open hours
subcategory:Open hours,hasOpinion,opinion:24/7
user:ls8TJDe_cs3COJjaQbRPKQ,hasReview,review:Ok5cBdpQIf94yLDvIgndJA
business:mcr1lAEdvGLMJhuPwI3I2A,hasReview,review:Ok5cBdpQIf94yLDvIgndJA
review:Ok5cBdpQIf94yLDvIgndJA,hasExtract,aspect:Ok5cBdpQIf94yLDvIgndJA#1
aspect:Ok5cBdpQIf94yLDvIgndJA#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:pretty good
review:Ok5cBdpQIf94yLDvIgndJA,hasExtract,aspect:Ok5cBdpQIf94yLDvIgndJA#2
aspect:Ok5cBdpQIf94yLDvIgndJA#2,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Delivery
subcategory:Delivery,hasDetail,detail:Time
detail:Time,hasOpinion,opinion:delivered the food quickly
review:Ok5cBdpQIf94yLDvIgndJA,hasExtract,aspect:Ok5cBdpQIf94yLDvIgndJA#3
aspect:Ok5cBdpQIf94yLDvIgndJA#3,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:refilled water whenever needed
review:Ok5cBdpQIf94yLDvIgndJA,hasExtract,aspect:Ok5cBdpQIf94yLDvIgndJA#4
aspect:Ok5cBdpQIf94yLDvIgndJA#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:extremely salty
review:Ok5cBdpQIf94yLDvIgndJA,hasExtract,aspect:Ok5cBdpQIf94yLDvIgndJA#5
aspect:Ok5cBdpQIf94yLDvIgndJA#5,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:taste was pretty good
review:Ok5cBdpQIf94yLDvIgndJA,hasExtract,aspect:Ok5cBdpQIf94yLDvIgndJA#6
aspect:Ok5cBdpQIf94yLDvIgndJA#6,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:milk tea is really good
review:Ok5cBdpQIf94yLDvIgndJA,hasExtract,aspect:Ok5cBdpQIf94yLDvIgndJA#7
aspect:Ok5cBdpQIf94yLDvIgndJA#7,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Ingredients
subcategory:Ingredients,hasOpinion,opinion:weird vegetables in Home-Style Tofu
user:xUIyrXsK6b8w33zh6LpOHg,hasReview,review:KWl1SNlOEo3g9OnakZk42w
business:IR46YDkF358WDZuqZ4M2mQ,hasReview,review:KWl1SNlOEo3g9OnakZk42w
review:KWl1SNlOEo3g9OnakZk42w,hasExtract,aspect:KWl1SNlOEo3g9OnakZk42w#1
aspect:KWl1SNlOEo3g9OnakZk42w#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:ok service
review:KWl1SNlOEo3g9OnakZk42w,hasExtract,aspect:KWl1SNlOEo3g9OnakZk42w#2
aspect:KWl1SNlOEo3g9OnakZk42w#2,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Located area
subcategory:Located area,hasOpinion,opinion:location is great
review:KWl1SNlOEo3g9OnakZk42w,hasExtract,aspect:KWl1SNlOEo3g9OnakZk42w#3
aspect:KWl1SNlOEo3g9OnakZk42w#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:fish tacos were that bad
review:KWl1SNlOEo3g9OnakZk42w,hasExtract,aspect:KWl1SNlOEo3g9OnakZk42w#4
aspect:KWl1SNlOEo3g9OnakZk42w#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Size
detail:Size,hasOpinion,opinion:portion not big enough for a 2 year old
review:KWl1SNlOEo3g9OnakZk42w,hasExtract,aspect:KWl1SNlOEo3g9OnakZk42w#5
aspect:KWl1SNlOEo3g9OnakZk42w#5,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Availability
detail:Availability,hasOpinion,opinion:had to track down our server
review:KWl1SNlOEo3g9OnakZk42w,hasExtract,aspect:KWl1SNlOEo3g9OnakZk42w#6
aspect:KWl1SNlOEo3g9OnakZk42w#6,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Waiting
subcategory:Waiting,hasOpinion,opinion:wait for the food was over 20 minutes
review:KWl1SNlOEo3g9OnakZk42w,hasExtract,aspect:KWl1SNlOEo3g9OnakZk42w#7
aspect:KWl1SNlOEo3g9OnakZk42w#7,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,"opinion:potato chips were not homemade yummy ones, lays potato chips"
review:KWl1SNlOEo3g9OnakZk42w,hasExtract,aspect:KWl1SNlOEo3g9OnakZk42w#8
aspect:KWl1SNlOEo3g9OnakZk42w#8,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
subcategory:Overall Experience/Opinion,hasOpinion,opinion:just unimpressed in general
user:T-q7Xmio1wxgDb8ITYPRQA,hasReview,review:mvCWLx1Uzs_I4PNSsKJ3JQ
business:kQblQcbnHoPx18xQyoDlrA,hasReview,review:mvCWLx1Uzs_I4PNSsKJ3JQ
review:mvCWLx1Uzs_I4PNSsKJ3JQ,hasExtract,aspect:mvCWLx1Uzs_I4PNSsKJ3JQ#1
aspect:mvCWLx1Uzs_I4PNSsKJ3JQ#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:melts in your mouth
review:mvCWLx1Uzs_I4PNSsKJ3JQ,hasExtract,aspect:mvCWLx1Uzs_I4PNSsKJ3JQ#2
aspect:mvCWLx1Uzs_I4PNSsKJ3JQ#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:tender and juicy and full of flavor
review:mvCWLx1Uzs_I4PNSsKJ3JQ,hasExtract,aspect:mvCWLx1Uzs_I4PNSsKJ3JQ#3
aspect:mvCWLx1Uzs_I4PNSsKJ3JQ#3,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
subcategory:Overall Experience/Opinion,hasOpinion,opinion:deserves more business
user:-WHorJDcgpsVImGGjwNGaQ,hasReview,review:hkyIC93aogd9XUh3j3Uurw
business:K7vvEwRd6Y8gRftjeuASuQ,hasReview,review:hkyIC93aogd9XUh3j3Uurw
review:hkyIC93aogd9XUh3j3Uurw,hasExtract,aspect:hkyIC93aogd9XUh3j3Uurw#1
aspect:hkyIC93aogd9XUh3j3Uurw#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:very good
review:hkyIC93aogd9XUh3j3Uurw,hasExtract,aspect:hkyIC93aogd9XUh3j3Uurw#2
aspect:hkyIC93aogd9XUh3j3Uurw#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Size
detail:Size,hasOpinion,opinion:generous servings
review:hkyIC93aogd9XUh3j3Uurw,hasExtract,aspect:hkyIC93aogd9XUh3j3Uurw#3
aspect:hkyIC93aogd9XUh3j3Uurw#3,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:pressured to rush through our meal
review:hkyIC93aogd9XUh3j3Uurw,hasExtract,aspect:hkyIC93aogd9XUh3j3Uurw#4
aspect:hkyIC93aogd9XUh3j3Uurw#4,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
subcategory:Overall Experience/Opinion,hasOpinion,opinion:we will not return there
user:a7_QGpOWiDALNYrjc42iWQ,hasReview,review:eXCk-54wtQ_z5_JFECwOnQ
business:GXFMD0Z4jEVZBCsbPf4CTQ,hasReview,review:eXCk-54wtQ_z5_JFECwOnQ
review:eXCk-54wtQ_z5_JFECwOnQ,hasExtract,aspect:eXCk-54wtQ_z5_JFECwOnQ#1
aspect:eXCk-54wtQ_z5_JFECwOnQ#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Seating
subcategory:Seating,hasOpinion,opinion:pick your own seating with a number system
review:eXCk-54wtQ_z5_JFECwOnQ,hasExtract,aspect:eXCk-54wtQ_z5_JFECwOnQ#2
aspect:eXCk-54wtQ_z5_JFECwOnQ#2,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Delivery
subcategory:Delivery,hasDetail,detail:Time
detail:Time,hasOpinion,opinion:food arrived quick
review:eXCk-54wtQ_z5_JFECwOnQ,hasExtract,aspect:eXCk-54wtQ_z5_JFECwOnQ#3
aspect:eXCk-54wtQ_z5_JFECwOnQ#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:chicken was juicy and the right level of spice
review:eXCk-54wtQ_z5_JFECwOnQ,hasExtract,aspect:eXCk-54wtQ_z5_JFECwOnQ#4
aspect:eXCk-54wtQ_z5_JFECwOnQ#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:Mac and greens were yummy
review:eXCk-54wtQ_z5_JFECwOnQ,hasExtract,aspect:eXCk-54wtQ_z5_JFECwOnQ#5
aspect:eXCk-54wtQ_z5_JFECwOnQ#5,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Gift
subcategory:Gift,hasOpinion,opinion:free cup of water
review:eXCk-54wtQ_z5_JFECwOnQ,hasExtract,aspect:eXCk-54wtQ_z5_JFECwOnQ#6
aspect:eXCk-54wtQ_z5_JFECwOnQ#6,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Waiting
subcategory:Waiting,hasOpinion,opinion:no line at all
review:eXCk-54wtQ_z5_JFECwOnQ,hasExtract,aspect:eXCk-54wtQ_z5_JFECwOnQ#7
aspect:eXCk-54wtQ_z5_JFECwOnQ#7,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Waiting
subcategory:Waiting,hasOpinion,opinion:recommend going at an off‑beat time to avoid the crowd
review:eXCk-54wtQ_z5_JFECwOnQ,hasExtract,aspect:eXCk-54wtQ_z5_JFECwOnQ#8
aspect:eXCk-54wtQ_z5_JFECwOnQ#8,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
subcategory:Overall Experience/Opinion,hasOpinion,opinion:great experience
user:TVWZ75lGw-ECqE0QwkU4SQ,hasReview,review:gzBz1tMdLK4vQSWRb1z_OQ
business:iLdVQodnexGgwcJYuW3mYw,hasReview,review:gzBz1tMdLK4vQSWRb1z_OQ
review:gzBz1tMdLK4vQSWRb1z_OQ,hasExtract,aspect:gzBz1tMdLK4vQSWRb1z_OQ#1
aspect:gzBz1tMdLK4vQSWRb1z_OQ#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:Very fresh
review:gzBz1tMdLK4vQSWRb1z_OQ,hasExtract,aspect:gzBz1tMdLK4vQSWRb1z_OQ#2
aspect:gzBz1tMdLK4vQSWRb1z_OQ#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:great food
review:gzBz1tMdLK4vQSWRb1z_OQ,hasExtract,aspect:gzBz1tMdLK4vQSWRb1z_OQ#3
aspect:gzBz1tMdLK4vQSWRb1z_OQ#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:Salad was fresh and tasty
review:gzBz1tMdLK4vQSWRb1z_OQ,hasExtract,aspect:gzBz1tMdLK4vQSWRb1z_OQ#4
aspect:gzBz1tMdLK4vQSWRb1z_OQ#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Size
detail:Size,hasOpinion,opinion:Large portions enough to share
user:0uVeXBy5iCFtbFMv09OLQQ,hasReview,review:cfxz5W2Hv9xP3xj3tGhGUg
business:XgVCGbSAO3i9a65ZHpb8-w,hasReview,review:cfxz5W2Hv9xP3xj3tGhGUg
review:cfxz5W2Hv9xP3xj3tGhGUg,hasExtract,aspect:cfxz5W2Hv9xP3xj3tGhGUg#1
aspect:cfxz5W2Hv9xP3xj3tGhGUg#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:tasty food
review:cfxz5W2Hv9xP3xj3tGhGUg,hasExtract,aspect:cfxz5W2Hv9xP3xj3tGhGUg#2
aspect:cfxz5W2Hv9xP3xj3tGhGUg#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Dessert
subcategory:Dessert,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:Delicious cannolis
review:cfxz5W2Hv9xP3xj3tGhGUg,hasExtract,aspect:cfxz5W2Hv9xP3xj3tGhGUg#3
aspect:cfxz5W2Hv9xP3xj3tGhGUg#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:great burgers
review:cfxz5W2Hv9xP3xj3tGhGUg,hasExtract,aspect:cfxz5W2Hv9xP3xj3tGhGUg#4
aspect:cfxz5W2Hv9xP3xj3tGhGUg#4,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Price
subcategory:Price,hasOpinion,opinion:Prices are slightly high
review:cfxz5W2Hv9xP3xj3tGhGUg,hasExtract,aspect:cfxz5W2Hv9xP3xj3tGhGUg#5
aspect:cfxz5W2Hv9xP3xj3tGhGUg#5,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Places or Areas
subcategory:Places or Areas,hasDetail,detail:Patio
detail:Patio,hasOpinion,opinion:sitting on the back deck in the summer
review:cfxz5W2Hv9xP3xj3tGhGUg,hasExtract,aspect:cfxz5W2Hv9xP3xj3tGhGUg#6
aspect:cfxz5W2Hv9xP3xj3tGhGUg#6,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Outside view
subcategory:Outside view,hasOpinion,opinion:looks over the Delaware river
user:01uDjmkqP32bTkCHuWIKBA,hasReview,review:XGw6HvyQ3lp9M_LkXDSoqw
business:zwGzwkVeYXE-tRisb8if7A,hasReview,review:XGw6HvyQ3lp9M_LkXDSoqw
review:XGw6HvyQ3lp9M_LkXDSoqw,hasExtract,aspect:XGw6HvyQ3lp9M_LkXDSoqw#1
aspect:XGw6HvyQ3lp9M_LkXDSoqw#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:food is amazing
review:XGw6HvyQ3lp9M_LkXDSoqw,hasExtract,aspect:XGw6HvyQ3lp9M_LkXDSoqw#2
aspect:XGw6HvyQ3lp9M_LkXDSoqw#2,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:people are total jerks and condescending
user:KmFEsn5dCHB2ftRP_AQGJA,hasReview,review:Xq1YzSK_Lsp6wKsOURvuhw
business:mzx-_gDf2Wb3tuSmpXZMiw,hasReview,review:Xq1YzSK_Lsp6wKsOURvuhw
review:Xq1YzSK_Lsp6wKsOURvuhw,hasExtract,aspect:Xq1YzSK_Lsp6wKsOURvuhw#1
aspect:Xq1YzSK_Lsp6wKsOURvuhw#1,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Waiting
subcategory:Waiting,hasOpinion,opinion:took 10 minutes for anyone to notice us and another 30 minutes before we were served
review:Xq1YzSK_Lsp6wKsOURvuhw,hasExtract,aspect:Xq1YzSK_Lsp6wKsOURvuhw#2
aspect:Xq1YzSK_Lsp6wKsOURvuhw#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:mashed potatoes bland no flavor
review:Xq1YzSK_Lsp6wKsOURvuhw,hasExtract,aspect:Xq1YzSK_Lsp6wKsOURvuhw#3
aspect:Xq1YzSK_Lsp6wKsOURvuhw#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:steak mediocre
user:mlcWIhar-X1qk5ZH8SQ4gQ,hasReview,review:w7fxCzmEywfsPdpwwjWHXg
business:diwwt5QBU3-Thig9SVlsOA,hasReview,review:w7fxCzmEywfsPdpwwjWHXg
review:w7fxCzmEywfsPdpwwjWHXg,hasExtract,aspect:w7fxCzmEywfsPdpwwjWHXg#1
aspect:w7fxCzmEywfsPdpwwjWHXg#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:solid
review:w7fxCzmEywfsPdpwwjWHXg,hasExtract,aspect:w7fxCzmEywfsPdpwwjWHXg#2
aspect:w7fxCzmEywfsPdpwwjWHXg#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:good
review:w7fxCzmEywfsPdpwwjWHXg,hasExtract,aspect:w7fxCzmEywfsPdpwwjWHXg#3
aspect:w7fxCzmEywfsPdpwwjWHXg#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:just ok
review:w7fxCzmEywfsPdpwwjWHXg,hasExtract,aspect:w7fxCzmEywfsPdpwwjWHXg#4
aspect:w7fxCzmEywfsPdpwwjWHXg#4,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Price
subcategory:Price,hasOpinion,opinion:reasonably priced
review:w7fxCzmEywfsPdpwwjWHXg,hasExtract,aspect:w7fxCzmEywfsPdpwwjWHXg#5
