id,label,value,text
review:CX0-6owhNA4k8o6OoaMd9A,Review,,"There isn't decent food late at night in New Orleans. Came here not knowing what to expect, and was in for possibly my most pleasant surprise during my stay. Food was fresh. Service fast. Great seating. Friendly Vibe. And one of the most diverse and unique soda selections I've ever come across. It also has a convenience store attached if you have any other needs. And most important of all it's 24/7!!!! Definitely give it a try especially if youre looking for something late at night."
user:r7vo23CVuCfXNGk9dkqasg,User,,
business:WNhcS2zi4zAqA2TbduVINQ,Business,,
aspect:CX0-6owhNA4k8o6OoaMd9A#1,Aspect,,
category:Food,Category,Food,
subcategory:Food item,Subcategory,Food item,
detail:Quality,Detail,Quality,
opinion:fresh,Opinion,fresh,
aspect:CX0-6owhNA4k8o6OoaMd9A#2,Aspect,,
category:Service,Category,Service,
subcategory:Staffs,Subcategory,Staffs,
detail:Experience,Detail,Experience,
opinion:fast,Opinion,fast,
aspect:CX0-6owhNA4k8o6OoaMd9A#3,Aspect,,
subcategory:Seating,Subcategory,Seating,
opinion:Great seating,Opinion,Great seating,
aspect:CX0-6owhNA4k8o6OoaMd9A#4,Aspect,,
category:Ambiance,Category,Ambiance,
subcategory:Environment,Subcategory,Environment,
detail:Type,Detail,Type,
opinion:Friendly Vibe,Opinion,Friendly Vibe,
aspect:CX0-6owhNA4k8o6OoaMd9A#5,Aspect,,
subcategory:Drink,Subcategory,Drink,
opinion:most diverse and unique soda selections,Opinion,most diverse and unique soda selections,
aspect:CX0-6owhNA4k8o6OoaMd9A#6,Aspect,,
subcategory:Open hours,Subcategory,Open hours,
opinion:24/7,Opinion,24/7,
review:Ok5cBdpQIf94yLDvIgndJA,Review,,"Service: The service here was pretty good. They came within a reasonable amount of time to ask if we were ready and were not annoyed when we said not yet. When we were sort of ready to order we started ordering then asked for one suggestion and went with it. They delivered the food quickly and refilled water whenever needed.

Food: The food is extremely salty to me. I normally eat food that is heavily salted, but even this was too salty to me. We had to get many bowls of rice and ended up still not being able to eat it so we took it home. The taste was pretty good but the Home-Style Tofu that we ordered had vegetables that one wouldn't normally put in the dish--so that was a weird one. Everything else was great.

In the future I will come here again but I would order different dishes. I heard their milk tea is really good but I didn't want to get it because we had a long 4 hour drive home. I'll definitely try it next time."
user:ls8TJDe_cs3COJjaQbRPKQ,User,,
business:mcr1lAEdvGLMJhuPwI3I2A,Business,,
aspect:Ok5cBdpQIf94yLDvIgndJA#1,Aspect,,
detail:Behaviour,Detail,Behaviour,
opinion:pretty good,Opinion,pretty good,
aspect:Ok5cBdpQIf94yLDvIgndJA#2,Aspect,,
subcategory:Delivery,Subcategory,Delivery,
detail:Time,Detail,Time,
opinion:delivered the food quickly,Opinion,delivered the food quickly,
aspect:Ok5cBdpQIf94yLDvIgndJA#3,Aspect,,
opinion:refilled water whenever needed,Opinion,refilled water whenever needed,
aspect:Ok5cBdpQIf94yLDvIgndJA#4,Aspect,,
detail:Taste,Detail,Taste,
opinion:extremely salty,Opinion,extremely salty,
aspect:Ok5cBdpQIf94yLDvIgndJA#5,Aspect,,
opinion:taste was pretty good,Opinion,taste was pretty good,
aspect:Ok5cBdpQIf94yLDvIgndJA#6,Aspect,,
opinion:milk tea is really good,Opinion,milk tea is really good,
aspect:Ok5cBdpQIf94yLDvIgndJA#7,Aspect,,
subcategory:Ingredients,Subcategory,Ingredients,
opinion:weird vegetables in Home-Style Tofu,Opinion,weird vegetables in Home-Style Tofu,
review:KWl1SNlOEo3g9OnakZk42w,Review,,"An ok place with ok service with mediocre food.   The location is great and I would come back for a beer on the water but not for the food. I got 2 fish tacos, my husband got the burger wrap. I couldn't even finish my fish because it was that bad and I left hungry.  My two year old got the chicken nuggets and wasn't full after eating them all, she asked for more. Basically if the portion is not big enough for a 2 year old who is it big enough for?  We had to track down our server and after we finally did order the wait for the food was over 20 minutes and a couple that came in after us ate before us. The side is potatoe chips, not homemade yummy ones, lays potatoe chips. I'm just unimpressed in general."
user:xUIyrXsK6b8w33zh6LpOHg,User,,
business:IR46YDkF358WDZuqZ4M2mQ,Business,,
aspect:KWl1SNlOEo3g9OnakZk42w#1,Aspect,,
opinion:ok service,Opinion,ok service,
aspect:KWl1SNlOEo3g9OnakZk42w#2,Aspect,,
subcategory:Located area,Subcategory,Located area,
opinion:location is great,Opinion,location is great,
aspect:KWl1SNlOEo3g9OnakZk42w#3,Aspect,,
opinion:fish tacos were that bad,Opinion,fish tacos were that bad,
aspect:KWl1SNlOEo3g9OnakZk42w#4,Aspect,,
detail:Size,Detail,Size,
opinion:portion not big enough for a 2 year old,Opinion,portion not big enough for a 2 year old,
aspect:KWl1SNlOEo3g9OnakZk42w#5,Aspect,,
detail:Availability,Detail,Availability,
opinion:had to track down our server,Opinion,had to track down our server,
aspect:KWl1SNlOEo3g9OnakZk42w#6,Aspect,,
category:Worthiness,Category,Worthiness,
subcategory:Waiting,Subcategory,Waiting,
opinion:wait for the food was over 20 minutes,Opinion,wait for the food was over 20 minutes,
aspect:KWl1SNlOEo3g9OnakZk42w#7,Aspect,,
"opinion:potato chips were not homemade yummy ones, lays potato chips",Opinion,"potato chips were not homemade yummy ones, lays potato chips",
aspect:KWl1SNlOEo3g9OnakZk42w#8,Aspect,,
category:Others,Category,Others,
subcategory:Overall Experience/Opinion,Subcategory,Overall Experience/Opinion,
opinion:just unimpressed in general,Opinion,just unimpressed in general,
review:mvCWLx1Uzs_I4PNSsKJ3JQ,Review,,"I never thought I would enjoy BBQ this much until I tried Jays. My favorite is the brisket, it melts in your mouth and from that moment on you're hooked! I love the pulled pork too, its so tender and juicy and full of flavor. I'm planning on trying the ribs soon. I really think these small businesses know how to do it right. This place deserves more business!"
user:T-q7Xmio1wxgDb8ITYPRQA,User,,
business:kQblQcbnHoPx18xQyoDlrA,Business,,
aspect:mvCWLx1Uzs_I4PNSsKJ3JQ#1,Aspect,,
opinion:melts in your mouth,Opinion,melts in your mouth,
aspect:mvCWLx1Uzs_I4PNSsKJ3JQ#2,Aspect,,
opinion:tender and juicy and full of flavor,Opinion,tender and juicy and full of flavor,
aspect:mvCWLx1Uzs_I4PNSsKJ3JQ#3,Aspect,,
opinion:deserves more business,Opinion,deserves more business,
review:hkyIC93aogd9XUh3j3Uurw,Review,,"After browsing all the great reviews we decided to try Myconos. The food was very good with generous servings. Our one big objection was that we were really pressured to rush through our meal. From the minute we sat down until we were finished our waitress was there asking "" well, are you ready yet?"" I had my husband told her we needed time to read the menu and when we ordered our saganaki she immediately wanted our dinner orders. I told her we really wanted to take our time to enjoy our meal. That didn't phase her at all. Salads came and before we got two bits the entrees were there. The restaurant was not busy, there were plenty of tables. Consequently we will not return there, the competition is fierce and there are several other fine choices."
user:-WHorJDcgpsVImGGjwNGaQ,User,,
business:K7vvEwRd6Y8gRftjeuASuQ,Business,,
aspect:hkyIC93aogd9XUh3j3Uurw#1,Aspect,,
opinion:very good,Opinion,very good,
aspect:hkyIC93aogd9XUh3j3Uurw#2,Aspect,,
opinion:generous servings,Opinion,generous servings,
aspect:hkyIC93aogd9XUh3j3Uurw#3,Aspect,,
opinion:pressured to rush through our meal,Opinion,pressured to rush through our meal,
aspect:hkyIC93aogd9XUh3j3Uurw#4,Aspect,,
opinion:we will not return there,Opinion,we will not return there,
review:eXCk-54wtQ_z5_JFECwOnQ,Review,,"Today me and the fam visted Hattie B's during our short trip in Nashville. We got there around 3o o'clock. No line at all. But it was raining so that maybe worked in our benefit. The seating is pick your own and of your dinning in they hand you a number and servers will drop your food off to you. The menu is simple only chicken pieces (dark, white, tender, wings) and various levels of spice rub. I ordered the small white in HOT with a side of Mac and greens. My food arrived quick. The chicken was juicy and the right level of spice for me. I have a medium to high tolerance. The Mac and greens were both yummy. A happy break from the spice of the the chicken. You can pick up your own cup on the side and get a cup of water free of charge. Overall a great experience. I would recommend going at an off beat time to avoid the crowd."
user:a7_QGpOWiDALNYrjc42iWQ,User,,
business:GXFMD0Z4jEVZBCsbPf4CTQ,Business,,
aspect:eXCk-54wtQ_z5_JFECwOnQ#1,Aspect,,
opinion:pick your own seating with a number system,Opinion,pick your own seating with a number system,
aspect:eXCk-54wtQ_z5_JFECwOnQ#2,Aspect,,
opinion:food arrived quick,Opinion,food arrived quick,
aspect:eXCk-54wtQ_z5_JFECwOnQ#3,Aspect,,
opinion:chicken was juicy and the right level of spice,Opinion,chicken was juicy and the right level of spice,
aspect:eXCk-54wtQ_z5_JFECwOnQ#4,Aspect,,
opinion:Mac and greens were yummy,Opinion,Mac and greens were yummy,
aspect:eXCk-54wtQ_z5_JFECwOnQ#5,Aspect,,
subcategory:Gift,Subcategory,Gift,
opinion:free cup of water,Opinion,free cup of water,
aspect:eXCk-54wtQ_z5_JFECwOnQ#6,Aspect,,
opinion:no line at all,Opinion,no line at all,
aspect:eXCk-54wtQ_z5_JFECwOnQ#7,Aspect,,
opinion:recommend going at an off‑beat time to avoid the crowd,Opinion,recommend going at an off‑beat time to avoid the crowd,
aspect:eXCk-54wtQ_z5_JFECwOnQ#8,Aspect,,
opinion:great experience,Opinion,great experience,
review:gzBz1tMdLK4vQSWRb1z_OQ,Review,,"Very fresh, great food. Everyone enjoyed their entrees...falafel wrap, chicken kabobs and lemon orzo soup plus hummus. Salad was fresh and tasty. Large portions...enough to share."
user:TVWZ75lGw-ECqE0QwkU4SQ,User,,
business:iLdVQodnexGgwcJYuW3mYw,Business,,
aspect:gzBz1tMdLK4vQSWRb1z_OQ#1,Aspect,,
opinion:Very fresh,Opinion,Very fresh,
aspect:gzBz1tMdLK4vQSWRb1z_OQ#2,Aspect,,
opinion:great food,Opinion,great food,
aspect:gzBz1tMdLK4vQSWRb1z_OQ#3,Aspect,,
opinion:Salad was fresh and tasty,Opinion,Salad was fresh and tasty,
aspect:gzBz1tMdLK4vQSWRb1z_OQ#4,Aspect,,
opinion:Large portions enough to share,Opinion,Large portions enough to share,
review:cfxz5W2Hv9xP3xj3tGhGUg,Review,,"Small friendly place with tasty food.  We like sitting on the back deck in the summer.  It looks over the Delaware river.  Delicious cannolis great burgers. Prices are slightly high, but the food is good."
user:0uVeXBy5iCFtbFMv09OLQQ,User,,
business:XgVCGbSAO3i9a65ZHpb8-w,Business,,
aspect:cfxz5W2Hv9xP3xj3tGhGUg#1,Aspect,,
opinion:tasty food,Opinion,tasty food,
aspect:cfxz5W2Hv9xP3xj3tGhGUg#2,Aspect,,
